Description,Title,URL,Compensation,Address,Employment Type
"SUMMARY


Partner Engineering and Science, Inc. is seeking a full-time Environmental Project Manager for our Eatontown, NJ office. The Project Management responsibilities includes planning, executing, reviewing, and finalizing projects according to deadlines and within budget.


Please apply to 


ESSENTIAL DUTIES & TASKS
•	Manage multiple projects concurrently
•	Oversee quality control throughout the project's life cycle
•	Coordinating the efforts of Partner team members to deliver projects according to plan
•	Cultivate strong relationships with the Partner team members and the Client in order to successfully deliver a quality within a designated time frame
•	Mentor staff
•	This position will require exposure and adaptability to several technical disciplines such as Property Condition Assessments, ALTA Survey, Construction Progress Monitoring and Engineering Consulting.

RESPONSIBILITIES
•	Manage project from Proposal stage through submittal of the final report. This may include but is not limited to the following
•	Perform quality assurance (QA) review and quality control (QC) of Phase I Environmental Site Assessments, including text and appendices.
•	Generate proposals, engage subcontractors and field staff, monitor project progress, and communicate with clients.
•	Effectively communicate project expectations (i.e. Client-specific SOW, templates) to team members and staff in a timely and clear fashion throughout the course of the project.
•	Provide solid recommendations and solutions to relationship managers and clients, while understanding the assessment's potential impact on the transaction process.
•	Identify and resolve issues with projects.
•	Deliver appropriate progress reports (verbally or e-mail), recommendations to the relationship manager and Client.
•	Manage client follow-up, questions, and concerns.
•	Communicate and coordinate follow up questions with field staff during review process
•	Delegate tasks and responsibilities to appropriate team members.
•	Coordinate and respond to client requests for changes in project scope, address revisions.
•	Facilitate delivery of final report and invoice.


KNOWLEDGE, SKILLS, AND ABILITIES
•	Extensive knowledge of ASTM-1527-05 and the Phase I Environmental Site Assessment Process as well as the Phase II/Site Investigation process.
•	Excellent communication skills (internal and external) 
•	Strong focus on customer service
•	Ability to effectively manage multiple tasks concurrently
•	Proven ability to successfully deliver a quality product on time
•	Exceptional writing skills
•	Ability to cultivate strong relationships within a team
•	Understanding of the concept of environmental consulting as it pertains to risk management and due diligence
•	Proficient in project estimating/proposals.


QUALIFICATIONS

•	Bachelor Degree from accredited university in environmental science, environmental engineering, biology or similar technical discipline.
•	5 to 7 years relevant experience in environmental consulting or environmental due diligence or risk management related services.
•	PE license is preferred


PHYSICAL REQUIREMENTS

•	Must be able to read, write, speak & comprehend English
•	Must be able to communicate clearly in person and over the telephone
•	Visual acuity adequate to perform job duties, including reading information from printed sources and computer screen


We will consider qualified applicants who have criminal histories in a manner consistent with the law.

Learn more about Partner Engineering and Science, Inc. at www.partneresi.com
 

ID 628",Project Manager,https://newyork.craigslist.org/jsy/egr/6088358088.html,Based on Education and Experience Level,"Eatontown, NJ",full-time
"An established and award winning international architecture/design firm is looking for a BIM Coordinator to join their team and work on a range of exciting projects across a number of sectors. This firm works on all kinds of projects from commercial, cultural, aviation, transport, and masterplanning.  This is an fantastic opportunity for a highly motivated candidate wishing to test their technical and management skills.  You will be responsible for technical support of project teams, as well as maintaining BIM models and montoring accuracy and performance of team members.  A candidate with 3+ years working with Revit/BIM is a must.  This is a role for someone with excellent communication and organizational skills, who has the ability to handle multiple tasks/projects.  It is an exciting opportunity for someone willing to work hard to realize exciting projects with a team of people passionate about architecture and the built environment!",BIM Coordinator,https://newyork.craigslist.org/mnh/egr/6088519383.html,"$65,000 - $85,000",Chelsea,full-time
"For immediate hire:
Premier MEP/FP consulting engineering firm located in midtown Manhattan has been partnering with select developers, architects, institutions and municipal agencies to provide exceptional building design and application services. 

Currently we offer an excellent career opportunity for a Civil Engineer who will be responsible for filing NYC Department of Environmental Protection (DEP) applications for: Site Connection Proposals, wet tap/backflow prevention applications, and industrial waste permits as applicable to a given project.

Minimum of 4-8 years of experience required.  Understanding of and direct experience with NYC DEP and Department of Buildings (DOB) rules, regulations and guidelines associated with the management of storm water, site connection proposals, sizing and design of detention facilities a must. Applications without this experience will not be considered. More extensive experience with MEP building design is a plus however.

As time and qualifications afford, responsibilities may also include: a) MEP mechanical, plumbing and/or fire sprinkler design, or b) developing and submitting gas and electric load letters to respective utility companies.

In this capacity you will interface with internal Project Managers and clients/owners/architects on a routine basis, so strong communication skills are desired. Familiarity with AutoCAD preferred. PE and/or LEED Accreditation a plus

Send resume labeled with you r first and last name
No Phone calls

Visit our new website at:


Read about our Company Culture at:


EOE",CIVIL ENGINEER-Utilities Specialist,https://newyork.craigslist.org/mnh/egr/6088522617.html,Top dollar offered,Midtown,full-time
"Premier MEP/FP consulting engineering firm located in midtown Manhattan has been partnering with select developers, architects, institutions and municipal agencies to provide exceptional building design and application services. 

Currently we offer excellent career opportunity for a Jr. Civil/Plumbing Engineer who under the supervision of a department manager will responsible for the submission of all utility applications/filings from inception to approval including gas load letters, sewer and wet taps for the various building projects that the firm is the MEP/FP Engineer of record.

Responsibilities:
Execute plumbing design documents from schematic design through construction documents.
Correspondence with the respective utility companies and agencies as well as coordination with the respective clients.

Requirements:
A minimum of 1-2 years experience in plumbing design.  Exp with site sewer connection and/or site water connection a plus.  CAD experience preferred.  REVIT experience as plus. Excellent communication skills a must.  EIT, PE and/or LEED Accreditation a plus.  

Come join our firm and work in a growing, fast-paced, open/friendly environment where there is growth potential and your contributions are always recognized.  

Send resume labeled with first and last name
No phone calls

Visit our new website at:


Read about our Company Culture at:


EOE",Jr. CIVIL /PLUMBING ENGINEER-Utilities Specialist,https://newyork.craigslist.org/mnh/egr/6088527103.html,Commensurate with Exoerience,Midtown West,full-time
"Position Overview:

Reporting to the Operations Manager, this position will manage the overall project relationship with the customer including any technical or logistical issues that may arise. The Project Manager must be the ""project champion"" to supervise all work and ensure a timely, high quality project completion.

Job Duties: 

•	Primary function will be to interface with the customer and manage subcontractors, technicians and engineers to efficiently and effectively complete the project on time, ahead of schedule and with a satisfied customer. 
•	Participates in job site initial walk thru with the clients project manager and oversees project closely
•	Monitor project status and control job costs 
•	Oversee supervision of all installation and/or retrofit work and personnel on assigned jobs. 
•	Ensure project schedules are maintained and proceed in accordance with defined scope of work.
•	Communicate project information (e.g. equipment changes) to engineering, operations team as needed to minimize cost and delay throughout the estimating, bidding and operations phases of each project.

Basic Qualifaction, Education, and Experience:

•	Bachelors degree or 3 years of related project management experience.
•	1-2 years experience in the installation and maintenance of low voltage electronic systems.
•	Knowledge of mechanical/electrical systems
•	Proficient in Microsoft Office: Word, Excel, Outlook, MS Project and other project planning software.
•	A clean driving license is preferred. 

Preferred Qualifications and Skillset:

• Bachelor's Degree in Engineering or equivalent combination of education and experience.
• A successful track record and a desire to work on a team in a fast paced growing industry
• OSHA 10/30 certification
• Must be able to demonstrate excellent verbal and written communication skills
• Strong time management and organizational skills
• Must be a self starter and be able to work independently and in team environment",Project Manager,https://newyork.craigslist.org/mnh/egr/6088618695.html,Based on experience,,full-time
"New York City's leading professional firm dedicated to the preservation of buildings and infrastructure is currently seeking a project manager (engineer or architect) with 5 to 10 years of restoration experience.  

SUPERSTRUCTURES works on an array of challenging projects on many of New York's most prominent buildings. We've won frequent awards, as well as the loyalty of some of the premier clients in the region -- public, corporate and residential.  Our work embraces all components of the building envelope and underlying structure - facades, roofs, windows, and plazas - and the full complement of materials, from landmark terra cotta to high performance curtain walls.  

We work in teams. Teams are assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a ""small office experience"" coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state of the art non-destructive diagnostic equipment and techniques.  

Employees typically participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see the designs you draw executed in the field, and you'll take on greater responsibility and client exposure as soon as you are ready.  

Frequent lunchtime seminars by industry experts, including our own in-house personnel, keep us current on developments in the profession (with the additional benefit of a free lunch).  

SUPERSTRUCTURES offers top-level compensation for top-level people, and the advancement potential of a thriving company.  

We are committed to a work / life balance, and to a work week of 40 hours.  When, on occasion, more than 40 hours are required, our employees are compensated for every additional hour worked. 
Our benefits include paid holidays, vacation and sick days, health insurance for employee and family, 401(k) with automatic employer contribution, a continuing education allowance, and free NYC Transit MetroCards.  

Our light-filled office is in a landmarked building with 16' high ceilings, 8' tall windows, and drop dead views in three directions - not a bad place to spend the workday. 

Our Tribeca location is one of New York City's most convenient and vibrant, easily accessible via public transportation. The A, C, and E subway lines stop right in the building. The N, R, #1, and #6 lines are each just a few blocks away. 

SUPERSTRUCTURES welcomes applications in reply to this posting. Please include a cover letter with salary requirements, your resume, and a few pages of attachments that display your capabilities (maximum of 10MB please).  

Note: Our thanks in advance to those submitting applications; only those candidates under consideration will be contacted.   

For additional information, visit our website at",Project Manager,https://newyork.craigslist.org/mnh/egr/6088625740.html,Commensurate with experience,TriBeCa,full-time
"One of New York City's leading professional firms dedicated to the restoration and renovation of buildings and infrastructure is currently seeking an architect with  2 to 5 years of relevant experience. 

SUPERSTRUCTURES works on an array of challenging projects on many of New York's most prominent buildings. We've won frequent awards, as well as the loyalty of some of the premier clients in the region -- public, corporate and residential.  Our work embraces all components of the building envelope and underlying structure - facades, roofs, windows, and plazas - and the full complement of materials, from landmark terra cotta to high performance curtain walls.  

We work in teams. Teams are assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a ""small office experience"" coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state of the art non-destructive diagnostic equipment and techniques.  

Employees typically participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see the designs you draw executed in the field, and you'll take on greater responsibility and client exposure as soon as you are ready.  

Frequent lunchtime seminars by industry experts, including our own in-house personnel, keep us current on developments in the profession (with the additional benefit of a free lunch).  

SUPERSTRUCTURES offers top-level compensation for top-level people, and the advancement potential of a thriving company.  

We are committed to a work / life balance, and to a work week of 40 hours.  When, on occasion, more than 40 hours are required, our employees are compensated for every additional hour worked. 
Our benefits include paid holidays, vacation and sick days, health insurance for employee and family, 401(k) with automatic employer contribution, a continuing education allowance, and free NYC Transit MetroCards.  

Our light-filled office is in a landmarked building with 16' high ceilings, 8' tall windows, and drop dead views in three directions - not a bad place to spend the workday. 

Our Tribeca location is one of New York City's most convenient and vibrant, easily accessible via public transportation. The A, C, and E subway lines stop right in the building. The N, R, #1, and #6 lines are each just a few blocks away. 

SUPERSTRUCTURES welcomes applications in reply to this posting. Please include a cover letter with salary requirements, your resume, and a few pages of attachments that display your capabilities (maximum of 10MB please).  

Note: Our thanks in advance to those submitting applications; only those candidates under consideration will be contacted.   

For additional information, visit our website at",Preservation Architect,https://newyork.craigslist.org/mnh/egr/6088627847.html,Commensurate with experience,TriBeCa,full-time
"New York City's leading professional firm dedicated to the preservation of buildings and infrastructure is currently seeking an engineer with 2 to 5 years of restoration experience.  

SUPERSTRUCTURES works on an array of challenging projects on many of New York's most prominent buildings. We've won frequent awards, as well as the loyalty of some of the premier clients in the region -- public, corporate and residential.  Our work embraces all components of the building envelope and underlying structure - facades, roofs, windows, and plazas - and the full complement of materials, from landmark terra cotta to high performance curtain walls.  

We work in teams. Teams are assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a ""small office experience"" coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state of the art non-destructive diagnostic equipment and techniques.  

Employees typically participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see the designs you draw executed in the field, and you'll take on greater responsibility and client exposure as soon as you are ready.  

Frequent lunchtime seminars by industry experts, including our own in-house personnel, keep us current on developments in the profession (with the additional benefit of a free lunch).  

SUPERSTRUCTURES offers top-level compensation for top-level people, and the advancement potential of a thriving company.  

We are committed to a work / life balance, and to a work week of 40 hours.  When, on occasion, more than 40 hours are required, our employees are compensated for every additional hour worked. 
Our benefits include paid holidays, vacation and sick days, health insurance for employee and family, 401(k) with automatic employer contribution, a continuing education allowance, and free NYC Transit MetroCards.  

Our light-filled office is in a landmarked building with 16' high ceilings, 8' tall windows, and drop dead views in three directions - not a bad place to spend the workday. 

Our Tribeca location is one of New York City's most convenient and vibrant, easily accessible via public transportation. The A, C, and E subway lines stop right in the building. The N, R, #1, and #6 lines are each just a few blocks away. 

SUPERSTRUCTURES welcomes applications in reply to this posting. Please include a cover letter with salary requirements, your resume, and a few pages of attachments that display your capabilities (maximum of 10MB please).  

Note: Our thanks in advance to those submitting applications; only those candidates under consideration will be contacted.   

For additional information, visit our website at",Preservation Engineer,https://newyork.craigslist.org/mnh/egr/6088626819.html,Commensurate with experience,TriBeCa,full-time
"Growing Controls Company seeks Controls/ Instrumentation Engineer.  Must have a strong background in Building Automation or Instrumentation.  



Minimum 3 years experience in the following areas:

Selecting controllers based on mechanical drawings.

Designing and drafting Autocad drawings for controls installation.

Programming controls systems.  Must have a strong knowledge of HVAC systems.  

Will be expected to go into the field to perform startup and commissioning of field devices.   



Alternatively, we will consider a candidate with hands on design and commissioning experience with industrial PLC or SCADA systems.",Controls/ Instrumentation Engineer,https://newyork.craigslist.org/mnh/egr/6088613681.html,Based on experience,Midtown,full-time
"CONSTRUCTION SUPERINTENDENT (NEW YORK)
Exceptional Opportunity - NYC hi-end residential contractor working in prestigious Park Avenue/5th Avenue and Townhouse  buildings seeks a professional experienced on-site Construction Supervisor with extensive similar high-end residential experience. Must possess a minimum of 10 years experience in luxury residential renovation projects. Must be able to completely supervise, manage and coordinate large high-end residential (not multi-family housing)  projects, including extensive HVAC, plumbing, electrical, stone and millwork scopes.  Superior organization, communication skills required. Current/previous employment with other major NYC residential high-end contractors a plus. Competitive salary and benefits including Profit Sharing offered. Email resume with salary requirements to aesuperintendent@gmail.com",CONSTRUCTION SUPERINTENDENT,https://newyork.craigslist.org/mnh/egr/6092003835.html,TBD,,full-time
"Established and growing building survey and computer drafting firm is currently seeking CADD Operators (Computer Draftspersons) of all experience levels (Entry Level to Senior). 

Requirements:
* Minimum 1 year of experience.  
* AutoCAD experience required
* Revit experience a plus.  
* Architectural experience preferred.
* Team Player, reliable

Position is FULL TIME (9am to 5pm) at our Carle Place office, located steps from LIRR. 

Pay varies with experience. 

For immediate consideration please send us a copy of your complete resume and a cover letter that tells us why you are the ideal candidate for this job.  Please note there are no medical benefits with this position. 

About Us:
The BUILDING SURVEY Corp. is a full-service New York based building survey and computer drafting firm, dedicated to bringing the highest quality service to building industry professionals. For over 20 years our surveys and measured drawings help stimulate the planning, design, construction, preservation, and renovation of properties; from high rise towers to custom single family homes. We take great pride in our unique ability to walk into any building and create scaled world-class existing conditions documents and drawings. The owner is a graduate of Syracuse University, School of Architecture with over 30 years of experience, and is certified AIA continuing education provider.",AutoCAD Drafters,https://newyork.craigslist.org/lgi/egr/6091735228.html,Varies - based on experience.,Carle Place,full-time
"Pipe Welder 
HVAC Company located in Queens NY
HVAC Company located in Queens NY is seeking dynamic, motivated, career minded individuals to join our expanding team! 

Position: Pipe Welder 

Primary Purpose:
Lay out, fabricates, assemble, install and weld piping, piping systems, equipment and industrial systems. 

Essential Duties:
Recognizes properties of various welding rods and fluxes used in welding metals 
Assembles, and installs a variety of metal pipe and pipe fittings (carbon steel) 
Removes slag and rough spots with a portable grinder, file, or scraper 
Determines required equipment and welding method, applying knowledge of metallurgy, geometry, and welding techniques 
Works within precise limits or standards of accuracy 
Adheres to pre-established guidelines to perform the functions of the job 
Must be comfortable working at heights 
Other job duties as assigned 

Minimum Experience and Qualifications:
Required:
Three to five years experience with TIG, STICK pipe welding; with various techniques including electric, gas, arc, or other equipment 

Knowledge of mechanical systems 

Must be able to lift, carry, push or pull objects weighing up to 50 pounds 

Candidate must be flexible, this position may require night shift or alternate work locations 

Must have a satisfactory driving record, criminal record and be able to pass a drug screen",PIPE WELDER,https://newyork.craigslist.org/que/egr/6092010860.html,TBD,QUEENS,full-time
"ARCHITECT/PROJECT MANGEMENT RECRUITERS NEEDED! GET PAID TODAY!

www.preferhired.com


Preferhired is seeking ""Referrers"" in the architect or engineering industries to refer quality Project Manager candidates, using our (amazing) software and your social and professional network. What's in it for you? Well, cold hard cash of course. 

Preferhired who?

Preferhired is a disruptor when it comes to how candidates find jobs and employers find their next rock star. Why....

Because ""Ain't nobody got time for that!,"" in the words of Sweet Brown (flashback to 2012, sorry, we can't help ourselves). We know that employers hire nearly 40 percent of their staff from employee referrals. So, we ask ourselves and our clients, ""Why not get that type of treatment every time you make a hire?"" Seems like a no brainer to us. 

Preferhired is a team of innovators changing recruiting and stale, boring referral programs, and we are looking to grow our community with equally awesome Referrers. Is this you?

Preferhired does what?

We're filtering through all the recruiting nonsense and getting our clients the right candidates at the right time. We open the door to possibilities for those seeking employment - all while keeping the process transparent and your bank account happy.

What does a Referrer do?

Here's the deal:

You peruse our open jobs
You rummage through your social and professional network
You refer a friend, colleague, or your neighbor next door
You GET PAID a reward throughout the hiring process (accepted candidate apply, interview, hire)
You repeat and earn more

Make sense? Great.

Check this job out and start referring today!


DO NOT APPLY VIA CRAIGSLIST

OK for recruiters to contact this job poster.
do NOT contact us with unsolicited services or offers",ARCHITECT/PROJECT MANGEMENT RECRUITERS NEEDED! GET PAID TODAY!,https://newyork.craigslist.org/mnh/egr/6088641654.html,Payment for every accepted step throughout the hiring process! $$$,NEW YORK CITY AREA,employee's choice
"Overview: 
Performs document control functions for medium to large projects and programs of a diverse nature. Assignments are normally related to multiple, large, and/or diverse projects.

Responsibilities: 
•	Process incoming and outgoing documents within the projects Electronic Document
•	Review documents for quality and proper workflow responsibility
•	Responsible for filing of project records with both projects' and NYSTA's document management system
•	Create Daily Log for Incoming and Outgoing documents and weekly logs for third party correspondence
•	Maintains files of project/program records and documentation
•	Support discipline leads (cost, schedule, reporting and contracts) as required with additional document control related functions 
•	Management System (PMIS)
•	Provide support of PMIS system through guidance of Document Control procedure
•	Assist in claims documentation
•	Research project documentation including plan sets as directed to determine project milestones and sequencing.
•	Read project diaries and assigns CPM codes to contractor activities to help in the creation of as-built CPM schedules.
•	Prepare monthly progress and other ad hoc reports in coordination with project task leaders
•	Assists with review of construction schedules for compliance with project documents.
•	Support in document control and other assistance to the project change order management group

Basic Qualifications:
• 3+ years of Construction Inspection or Construction Administration experience required
• B.S. in Civil Engineering or Construction Management preferred
• E.I.T. preferred
• NYSDOT or NYSTA experience preferred
• Familiarity with SharePoint/Open Text and Microsoft Office preferred
• Previous design-build experience preferred
• Valid New York Driver's License Required


To apply:

Reply to the job posting with your resume/cover letter or visit",Office Engineer / Document Controls Engineer,https://newyork.craigslist.org/mnh/egr/6092216921.html,TBD,,full-time
"Seeking motivated and resourceful candidate with 5-8 years of High End Residential Design experience

- Experience with NYC Department of Buildings, Landmarks Preservation Commission and coop/condo board approvals

- Experience completing schematic design, design development, bid and construction document drawing sets

- Experience reviewing shop drawings

- Experience attending site meetings and taking and preparing site meeting minutes

- Experience coordinating with other design consultants

- Cad or Autocad drafting experience is required

- proficiency in Photoshop, Illustrator, Excel and Word is necessary as well

- 3-d modeling experience a plus

- Should have good time management and interpersonal skills as well as ability to communicate well written and verbally.

- Ability to work flexibly under pressure and multi-task

- Small firm with lots of room to grow and learn",Intermediate Architect - High End Residential,https://newyork.craigslist.org/mnh/egr/6092125356.html,To be negotiated,Upper West Side,full-time
"Overview:  
Performs document control functions for medium to large projects and programs of a diverse nature. Assignments are normally related to multiple, large, and/or diverse projects.
 
Responsibilities: 
•	Process incoming and outgoing documents within the projects Electronic Document
•	Review documents for quality and proper workflow responsibility
•	Responsible for filing of project records with both projects' and NYSTA's document management system
•	Create Daily Log for Incoming and Outgoing documents and weekly logs for third party correspondence
•	Maintains files of project/program records and documentation
•	Support discipline leads (cost, schedule, reporting and contracts) as required with additional document control related functions 
•	Management System (PMIS)
•	Provide support of PMIS system through guidance of Document Control procedure
•	Assist in claims documentation
•	Research project documentation including plan sets as directed to determine project milestones and sequencing.
•	Read project diaries and assigns CPM codes to contractor activities to help in the creation of as-built CPM schedules.
•	Prepare monthly progress and other ad hoc reports in coordination with project task leaders
•	Assists with review of construction schedules for compliance with project documents.
•	Support in document control and other assistance to the project change order management group

Basic Qualifications:
• 3+ years of Construction Inspection or Construction Administration experience required
• B.S. in Civil Engineering or Construction Management preferred
• E.I.T. preferred
• NYSDOT or NYSTA experience preferred
• Familiarity with SharePoint/Open Text and Microsoft Office preferred
• Previous design-build experience preferred
• Valid New York Driver's License Required

To apply:

Reply to the job posting with your resume/cover letter or visit",Office Engineer / Document Controls Engineer,https://newyork.craigslist.org/wch/egr/6092218878.html,TBD,Tarrytown,full-time
"nC2 architecture is a small but growing Brooklyn-based architectural firm and is currently looking for a junior to intermediate architect to join our team. We are looking for highly talented and motivated young professionals to grow with us as we expand.

The ideal candidate has well-rounded experience, outstanding design capability and good technical knowledge.  

Candidates should carefully review the following prerequisites as they are mandatory for consideration of the application:
- Degree in architecture.
- Minimum 2 years of well-rounded experience in architectural practice including the production of design drawings, production of filing drawings for the NYC Dept. of Buildings and Landmarks Preservation Commission, as well as production of construction documents.
- Candidates must be located in the New York City area and have permission to work legally in the US. 

Responsibilities include, but are not limited to the following:
- Production work on all project phases from concept design through closeout. 
- Preparation of drawings for client meetings, DOB submissions and construction documents. 
- Creation of digital and physical models.
- Attendance at client and DOB meetings.
- Site visits.

Please note:  we are a Vectorworks office and candidates with proficiency in this software will be given preference. 

Candidates who are applying for this position should email the following to careers@nc2architecture.com:
- A concise resume 
- Two (2) 8½"" x 11"" pages with images representing their best work",Junior / Intermediate Architect,https://newyork.craigslist.org/brk/egr/6092051552.html,Commensurate with experience,Prospect Heights,full-time
"Large media conglomerate seeking space planning coordinator. Contract to hire with potential conversion after 6 months. Full time, hourly contractor (W-2 employment).


Job Responsibilities:
-	Assist Senior Manager on weekly relocations for all New York locations
-	Monitor and update a workplace management system, Planon (AutoCAD based)
-	Oversee and manage all move related activity, coordinating with maintenance
-	Perform pre and post-move walk- throughs and follow ups 
-	Maintain electronic and paper documentation on completed moves, providing reports as requested
-	Update database with move data and human resources correspondence
-	Perform additional tasks as requested


Required Skills and Experience:
-	Background in Interior Design/ Architecture 
-	Experience with and understanding of AutoCAD
-	Proven administrative skills with emphasis on attention to detail and follow up
-	Strong computer skills (Microsoft Office, Access, and Plan-On) 
-	High level of motivation and interpersonal communication skills
-	Ability to work under pressure and multitask",Jr. Designer/ Space Planning Coordinator,https://newyork.craigslist.org/mnh/egr/6092306782.html,$20-25/hr,Midtown,contract
"Established NYC Building Code and Zoning Law consulting firm is seeking an experienced Certificate of Occupancy coordinator/expeditor. This is a full-time position assisting with the coordination of first time TCOs, TCO renewals, and final COs from time of Alt-1 or new building approval.  Applicant should have working knowledge of the DOB's boiler, construction, plumbing, elevator, and electrical divisions. Candidate must be able to decipher DOB records in order to guide clients through the CO process. 

The CO Coordinator/Expeditor must possess the following knowledge/skills sets and experience:

-	Knowledge of the NYC Building Code and Zoning Resolution as well as NYC Department of Buildings' processes 
-	Must be able to multi-task in order to coordinate a large number of projects
-	Must be able to work as a team with other departments within our organization
-	Must have strong communication and organizational skills
-	Must be proficient in MS excel, outlook, and word

You must have applied for or are ready to renew as a Class 2 DOB ID. Only applicants with experience working with the NYC DOB will be considered. No others need apply.

We offer a competitive salary based on level of experience. Our comprehensive benefits package includes medical, dental, life and long-term disability insurance, paid vacations, and transit compensation.

Submit resume and salary requirements for consideration.

If this ad is up, the position is still available, regardless of the post date.

We are an Equal Opportunity Employer.",Experienced Certificate of Occupancy Coordinator/Expeditor,https://newyork.craigslist.org/mnh/egr/6092368688.html,Commensurate with experience,Downtown,full-time
"NYC high-end residential general contractor seeks Project Manager with extensive experience in multi-million dollar residential renovations.  Must be able to control all aspects of the job in field and office. Must have extensive computer, writing and communication skills for large volume of paperwork, and for dealings with subcontractors and world-renowned architects and decorators. Minimum 10-years high-end residential experience only will be considered.  Must be extremely task and schedule-oriented, and possess excellent speaking and writing skills. Competitive salary and benefits offered.  Email salary requirements and references to aegpm45@gmail.com",CONSTRUCTION PROJECT MANAGER,https://newyork.craigslist.org/mnh/egr/6092098072.html,TBD,,full-time
"We are a heating supply wholesaler (with stores on the Lower East Side, the Bronx and Mt. Vernon) that sells heating equipment such as replacement parts and components, boilers, burners, hot water heaters and radiators, as well as other supplies.

We are looking for a person with technical sales experience for an entry level position. Basic responsibilities include staffing the counter, filling customer orders, dealing with computerized pricing & inventory, handling phone, fax and email sales, and creating related online content. Applicants should have strong computer and social media skills. 

Any knowledge of heating products, HVAC, and/or a mechanical background would be ideal. Previous technical sales experience is also a definite plus. As we are moving into our off-season, we will have time to train someone who is genuinely interested in finding out about, and working in the wholesale heating supply business. 

Therefore, if you are a responsible, high-energy individual familiar with or is willing to learn about heating products, and is qualified for this job, please submit your resume and a brief email introduction.",Technical Sales Job at Heating Supply Wholesaler,https://newyork.craigslist.org/mnh/egr/6092369199.html,Competitive Salary.,Lower East Side,full-time
"Building and Zoning Law Consultant is seeking college graduates with Bachelors and/or Masters in Architecture or Engineering and an interest in the Department of Buildings Code Consultation/Expediting for a FULL TIME position.  Candidates with Class 2 DOB IDs will also be considered.  

Applicant must have the ability to communicate the items required for approval with coworkers and/or clients. Must be able to multi-task in order to expedite a large number of projects. Applicant must have strong communication, organizational and computer skills. Microsoft Word, Outlook and Excel experience required. 

Please send resume detailing past experience and include salary requirements.  Experience with NYC Building Code and Zoning Law is preferred but not required.  Please indicate your level of experience in your reply.

We offer a competitive salary based on level of experience along with an extensive benefits package including Metrocards, paid vacation and medical, dental, life and long-term disability insurance.  Only applicants with BA/MA in Architecture or Engineering or Class 2 ID will be considered.

If this ad is up, the job is available, no matter the posted date. 

We are an Equal Opportunity Employer.",Architectural Consultant/Expediter,https://newyork.craigslist.org/mnh/egr/6092370208.html,Commensurate with experience,Downtown,full-time
"National Floors Direct is an industry-leading direct to consumer carpet and floor-covering sales and installation specialty service. We are looking for experienced and detail-oriented Auto CAD Operators to join our Order Sizing Team in our Long Island City, NY, office.

 Responsibilities:
       - Digitize carpet and flooring installation floor-plans using industry-leading floor-covering sizing software
       - Produce accurate and timely material lists needed to complete installation projects
       - Bridge communication between our installation department and outside field sales representatives to ensure accurate and efficient order sizing and delivery for our customers

Requirements:
       - Drafting - Auto CAD certification, coursework, or relevant work experience
       - Critical and logical thinking with a meticulous attention to detail
       - Ability to read and interpret floor-plans, construction layouts, and blue prints
       - Construction of flooring background is a major plus",Auto CAD Operator - Carpet and Flooring Sizing Software,https://newyork.craigslist.org/que/egr/6092389714.html,"Hourly, commensurate with the responsibilities of the role, opportunity for advancement!",Long Island City,full-time
"Main Function is to assist the project manager with contract administration, project, client relations, sub-contractor administration, shop drawings, submittals and coordination.  Must be detail oriented, responsible, prepare and respond to RFI's, prepare as-built drawings. Ability to read and interpret plans and drawings.  Excellent writer, verbal, and computer skills a must.",Assistant Construction Project Manager,https://newyork.craigslist.org/que/egr/6092501574.html,commensurate with experience,Glendale,full-time
"We are a small design studio in Williamsburg, Brooklyn.

Looking for recent grad for help on a variety of projects both commercial and residential. Your responsibilities would include design and drafting, from schematic to construction documents, as well as coordinating with vendors, suppliers, and if the right fit, clients. 

We have interesting and fun clients and projects -- lots of young companies in the tech and advertising world, and their CEO's, for residential. We are focused on growing a strong team that is proud of their work, feels appreciated, and challenged. 

For the time being, you would work remotely, with regular meetings in Williamsburg. Need to have own computer with experience in Acad, and Adobe. Some construction document experience preferred. 

I am open to both part-time and full-time help. In either case, you would be working remotely, with regular meetings in Williamsburg. Please respond with an email outlining your ideal time commitment and availability, desired compensation, and brief summary of experience. Please include your resume and portfolio, or link to work. Thanks for your time. 

Please no calls. 

You can see some of my work at:
mammothnewyork.com",Recent Architecture Grad,https://newyork.craigslist.org/brk/egr/6092845669.html,tbd,brooklyn,employee's choice
